y	x
158	1000.300
168	1000.400
39	1001.700
291	1002.400
205	1002.900
342	1012.600
25	1014.100
101	1015.600
152	1015.800
372	1015.900
291	1016.500
89	1016.700
367	1021.900
358	1022.900
262	1024.000
89	1024.600
277	1024.800
359	1024.900
157	1025.200
152	1027.100
206	1030.300
76	1038.400
291	1038.500
287	1039.000
33	1040.300
162	1041.700
143	1042.300
152	1043.300
206	1043.500
23	1048.900
40	1049.500
76	1052.500
152	1055.200
273	1056.800
278	1058.300
7	1059.100
222	1063.700
322	1066.200
152	1066.700
302	1067.500
88	1067.700
178	1069.800
76	1072.300
291	1074.000
355	1076.600
88	1078.200
103	1081.300
371	1081.600
22	1081.700
62	1081.800
298	1082.100
228	1086.500
291	1087.200
77	1089.200
152	1090.500
88	1091.600
298	1094.900
179	1095.700
291	1101.200
228	1102.700
365	1104.500
298	1106.300
77	1106.500
390	1107.800
401	1107.900
179	1109.100
146	1109.800
183	1110.000
228	1113.300
283	1116.100
113	1118.900
179	1121.900
77	1122.600
42	1126.600
401	1126.700
45	1128.700
376	1129.500
48	1130.400
353	1130.400
283	1131.100
236	1132.700
77	1136.400
228	1140.100
113	1140.200
283	1141.000
172	1142.100
183	1142.500
146	1144.100
353	1144.400
236	1146.200
346	1152.700
77	1153.800
388	1154.000
236	1156.300
339	1156.800
146	1156.900
21	1159.300
353	1161.500
50	1166.600
160	1166.600
109	1167.600
77	1167.700
178	1168.000
83	1170.200
353	1170.700
228	1171.700
333	1172.900
284	1184.200
339	1185.000
288	1186.500
261	1187.700
357	1187.800
184	1190.000
353	1190.700
213	1191.100
192	1191.200
68	1192.100
109	1192.100
212	1192.300
77	1192.700
47	1193.700
382	1201.100
184	1201.900
77	1204.800
83	1208.800
198	1210.000
401	1211.700
357	1213.300
382	1217.300
77	1218.500
71	1219.000
198	1219.800
369	1219.800
208	1221.300
307	1225.300
306	1225.700
289	1226.000
253	1229.400
382	1230.400
198	1232.400
26	1235.400
77	1237.300
202	1239.500
184	1239.900
357	1240.200
128	1240.400
208	1242.600
198	1245.100
51	1246.000
392	1246.600
372	1246.700
297	1247.600
103	1249.900
128	1251.800
253	1255.100
306	1257.700
198	1259.100
303	1259.300
173	1259.400
401	1261.300
26	1263.800
128	1263.800
98	1264.200
208	1266.600
372	1269.900
357	1275.700
98	1278.700
26	1279.500
271	1280.600
51	1287.800
198	1288.300
203	1289.500
98	1289.800
400	1290.400
174	1290.600
271	1290.700
297	1291.400
148	1298.500
400	1298.900
84	1299.100
305	1299.800
271	1301.100
203	1301.700
367	1301.700
51	1302.500
98	1305.200
297	1309.200
203	1312.400
367	1312.800
84	1314.700
148	1315.900
271	1316.200
112	1316.700
51	1317.700
35	1318.500
219	1320.600
148	1326.700
271	1328.700
20	1331.000
367	1331.200
297	1332.100
400	1332.500
119	1334.900
203	1337.100
148	1343.500
271	1344.400
194	1345.000
367	1345.300
335	1346.400
119	1348.300
68	1350.000
282	1353.500
132	1353.900
103	1355.400
36	1356.400
219	1357.500
68	1361.300
282	1362.200
335	1362.900
36	1364.900
168	1365.900
271	1367.100
103	1367.200
23	1369.700
387	1371.600
